Strength,Racial_Group,Gender,Category,Letters,Mean_per300,SD_per300,CI_lower,CI_upper
Combined,Asian,Male,standout,640,2.0137,1.3601,1.9081,2.1193
Combined,Asian,Male,ability,640,2.0057,1.5604,1.8846,2.1269
Combined,Asian,Male,grindstone,640,1.6143,1.3444,1.51,1.7187
Combined,Asian,Male,communal,640,5.8792,1.8915,5.7323,6.026
Combined,Asian,Male,agentic,640,6.5306,1.9591,6.3785,6.6826
Combined,Asian,Male,competitive,640,3.2243,1.6751,3.0942,3.3543
Combined,Asian,Nonbinary,standout,640,2.1659,1.4411,2.054,2.2778
Combined,Asian,Nonbinary,ability,640,2.072,1.5625,1.9507,2.1932
Combined,Asian,Nonbinary,grindstone,640,1.334,1.1463,1.245,1.4229
Combined,Asian,Nonbinary,communal,640,6.0457,1.9866,5.8915,6.1999
Combined,Asian,Nonbinary,agentic,640,6.5386,2.0607,6.3787,6.6986
Combined,Asian,Nonbinary,competitive,640,3.1353,1.5484,3.0151,3.2555
Combined,Black,Female,standout,640,2.2676,1.5017,2.1511,2.3842
Combined,Black,Female,ability,640,2.082,1.5255,1.9636,2.2004
Combined,Black,Female,grindstone,640,1.6692,1.3355,1.5655,1.7728
Combined,Black,Female,communal,640,5.6488,1.8566,5.5047,5.7929
Combined,Black,Female,agentic,640,6.8966,1.9863,6.7424,7.0508
Combined,Black,Female,competitive,640,3.4413,1.6582,3.3126,3.57
Combined,Black,Male,standout,640,2.0676,1.3311,1.9642,2.1709
Combined,Black,Male,ability,640,2.0848,1.5627,1.9635,2.2061
Combined,Black,Male,grindstone,640,1.5005,1.2257,1.4053,1.5956
Combined,Black,Male,communal,640,5.5768,1.9885,5.4225,5.7312
Combined,Black,Male,agentic,640,6.4963,1.882,6.3502,6.6424
Combined,Black,Male,competitive,640,3.1964,1.6178,3.0708,3.3219
Combined,Black,Nonbinary,standout,640,2.1493,1.3738,2.0427,2.256
Combined,Black,Nonbinary,ability,640,2.1304,1.6018,2.0061,2.2547
Combined,Black,Nonbinary,grindstone,640,1.3206,1.143,1.2319,1.4093
Combined,Black,Nonbinary,communal,640,6.0278,1.9397,5.8773,6.1784
Combined,Black,Nonbinary,agentic,640,6.6654,2.0115,6.5093,6.8216
Combined,Black,Nonbinary,competitive,640,3.107,1.6758,2.9769,3.237
Combined,Hawaiian/Pacific Islander,Female,standout,640,2.2064,1.447,2.0941,2.3187
Combined,Hawaiian/Pacific Islander,Female,ability,640,2.0157,1.5192,1.8978,2.1337
Combined,Hawaiian/Pacific Islander,Female,grindstone,640,1.5999,1.3427,1.4957,1.7042
Combined,Hawaiian/Pacific Islander,Female,communal,640,5.9337,2.0308,5.776,6.0913
Combined,Hawaiian/Pacific Islander,Female,agentic,640,6.6316,1.9907,6.477,6.7861
Combined,Hawaiian/Pacific Islander,Female,competitive,640,3.1416,1.6196,3.0158,3.2673
Combined,Hawaiian/Pacific Islander,Male,standout,640,2.1698,1.3667,2.0637,2.2759
Combined,Hawaiian/Pacific Islander,Male,ability,640,2.0342,1.4981,1.9179,2.1505
Combined,Hawaiian/Pacific Islander,Male,grindstone,640,1.4767,1.2854,1.3769,1.5765
Combined,Hawaiian/Pacific Islander,Male,communal,640,5.9231,1.9987,5.768,6.0783
Combined,Hawaiian/Pacific Islander,Male,agentic,640,6.5063,1.9637,6.3539,6.6587
Combined,Hawaiian/Pacific Islander,Male,competitive,640,3.1792,1.6585,3.0505,3.3079
Combined,Hawaiian/Pacific Islander,Nonbinary,standout,640,2.2226,1.3785,2.1156,2.3296
Combined,Hawaiian/Pacific Islander,Nonbinary,ability,640,2.1581,1.5795,2.0355,2.2807
Combined,Hawaiian/Pacific Islander,Nonbinary,grindstone,640,1.2786,1.2112,1.1846,1.3726
Combined,Hawaiian/Pacific Islander,Nonbinary,communal,640,5.9123,1.9145,5.7637,6.0609
Combined,Hawaiian/Pacific Islander,Nonbinary,agentic,640,6.5236,1.9585,6.3716,6.6756
Combined,Hawaiian/Pacific Islander,Nonbinary,competitive,640,3.0623,1.5254,2.9439,3.1807
Combined,Hispanic/Latinx,Female,standout,640,2.3644,1.4643,2.2507,2.478
Combined,Hispanic/Latinx,Female,ability,640,2.0307,1.5589,1.9097,2.1517
Combined,Hispanic/Latinx,Female,grindstone,640,1.6511,1.3426,1.5469,1.7553
Combined,Hispanic/Latinx,Female,communal,640,5.9249,1.9169,5.7761,6.0737
Combined,Hispanic/Latinx,Female,agentic,640,6.7649,2.0234,6.6079,6.922
Combined,Hispanic/Latinx,Female,competitive,640,3.4133,1.6972,3.2816,3.545
Combined,Hispanic/Latinx,Male,standout,640,2.0842,1.3944,1.976,2.1925
Combined,Hispanic/Latinx,Male,ability,640,2.0494,1.5222,1.9312,2.1675
Combined,Hispanic/Latinx,Male,grindstone,640,1.5727,1.2939,1.4723,1.6731
Combined,Hispanic/Latinx,Male,communal,640,5.9599,1.9364,5.8095,6.1102
Combined,Hispanic/Latinx,Male,agentic,640,6.4662,1.947,6.315,6.6173
Combined,Hispanic/Latinx,Male,competitive,640,3.3861,1.6834,3.2555,3.5168
Combined,Hispanic/Latinx,Nonbinary,standout,640,2.1691,1.3562,2.0638,2.2744
Combined,Hispanic/Latinx,Nonbinary,ability,640,2.1027,1.5312,1.9839,2.2216
Combined,Hispanic/Latinx,Nonbinary,grindstone,640,1.3248,1.2046,1.2313,1.4183
Combined,Hispanic/Latinx,Nonbinary,communal,640,6.0981,2.0468,5.9392,6.2569
Combined,Hispanic/Latinx,Nonbinary,agentic,640,6.5833,1.9553,6.4315,6.735
Combined,Hispanic/Latinx,Nonbinary,competitive,640,3.1405,1.626,3.0143,3.2667
Combined,White,Female,standout,640,2.2349,1.3577,2.1295,2.3403
Combined,White,Female,ability,640,2.1134,1.5748,1.9911,2.2356
Combined,White,Female,grindstone,640,1.6053,1.3257,1.5024,1.7082
Combined,White,Female,communal,640,5.9775,1.9258,5.828,6.127
Combined,White,Female,agentic,640,6.6665,1.9284,6.5168,6.8162
Combined,White,Female,competitive,640,3.3846,1.6263,3.2584,3.5109
Combined,White,Male,standout,640,2.06,1.3487,1.9553,2.1647
Combined,White,Male,ability,640,2.0875,1.5847,1.9645,2.2105
Combined,White,Male,grindstone,640,1.6998,1.3241,1.597,1.8025
Combined,White,Male,communal,640,5.8779,1.9373,5.7276,6.0283
Combined,White,Male,agentic,640,6.7777,2.0375,6.6195,6.9358
Combined,White,Male,competitive,640,3.3888,1.6689,3.2593,3.5184
Combined,White,Nonbinary,standout,640,2.0953,1.307,1.9938,2.1967
Combined,White,Nonbinary,ability,640,2.088,1.497,1.9718,2.2042
Combined,White,Nonbinary,grindstone,640,1.3892,1.1904,1.2968,1.4816
Combined,White,Nonbinary,communal,640,6.0903,2.0436,5.9317,6.2489
Combined,White,Nonbinary,agentic,640,6.7386,1.9809,6.5848,6.8924
Combined,White,Nonbinary,competitive,640,3.1995,1.6409,3.0721,3.3268
